Ticket_ID,Age,Ticket_Price,Movie_Genre,Seat_Type,Number_of_Person,Purchase_Again,Cluster,Year
N4369,55,12.27,Comedy,Standard,7,No,2.0,
B8091,35,19.02,Drama,Standard,1,Yes,3.0,
V6341,55,22.52,Horror,VIP,3,No,4.0,
B3243,53,23.01,Drama,Standard,6,Yes,2.0,
I3814,30,21.81,Comedy,VIP,4,Yes,3.0,
E5655,28,11.58,Horror,VIP,1,Yes,0.0,
P1526,50,22.91,Action,Standard,1,Yes,4.0,
V4726,44,23.09,Sci-Fi,Premium,7,Yes,2.0,
A2029,46,12.12,Sci-Fi,Standard,1,Yes,1.0,
P0092,48,19.63,Action,VIP,1,Yes,4.0,
H4037,51,21.35,Action,Standard,2,Yes,4.0,
L2502,56,14.06,Comedy,VIP,1,No,1.0,
P4991,40,16.75,Horror,VIP,6,No,2.0,
L1185,26,23.39,Drama,Premium,1,No,3.0,
M6402,22,22.29,Sci-Fi,Premium,1,Yes,3.0,
S3535,42,12.31,Horror,VIP,1,No,1.0,
C1073,44,17.85,Comedy,Premium,1,No,4.0,
I7517,35,21.49,Horror,VIP,2,Yes,3.0,
Q8198,26,22.32,Comedy,VIP,5,Yes,2.0,
E1293,54,15.68,Horror,VIP,1,Yes,1.0,
F5223,54,16.94,Sci-Fi,Standard,1,No,1.0,
U1989,39,16.24,Drama,VIP,1,No,0.0,
Q7218,31,16.38,Action,Standard,1,No,0.0,
J1556,23,18.21,Horror,Premium,4,No,3.0,
V9900,53,12.25,Action,VIP,1,No,1.0,
S3117,43,11.64,Comedy,Standard,1,Yes,1.0,
Q8269,21,20.46,Drama,VIP,7,No,2.0,
G7166,23,10.71,Comedy,Standard,1,No,0.0,
Z4432,49,18.57,Drama,VIP,1,No,4.0,
T5210,37,12.67,Drama,VIP,6,Yes,2.0,
P9720,22,11.1,Sci-Fi,Premium,2,No,0.0,
E7092,24,19.56,Comedy,Premium,7,No,2.0,
U5101,46,20.04,Horror,VIP,1,No,4.0,
H2053,32,10.09,Sci-Fi,VIP,1,No,0.0,
R0385,33,10.05,Action,Standard,1,No,0.0,
T7858,60,20.22,Action,Standard,2,No,4.0,
S2012,45,17.09,Action,Standard,1,Yes,1.0,
A6397,58,15.81,Drama,Premium,5,Yes,1.0,
D4217,20,13.39,Sci-Fi,Standard,3,No,0.0,
E2087,59,22.17,Comedy,Standard,1,No,4.0,
I6521,49,18.5,Comedy,VIP,7,No,2.0,
K1926,59,21.2,Comedy,VIP,4,Yes,4.0,
E4059,49,22.32,Drama,Premium,7,Yes,2.0,
P1743,20,17.09,Sci-Fi,VIP,1,Yes,0.0,
N3988,52,22.39,Comedy,VIP,1,No,4.0,
H2641,50,10.81,Action,Standard,1,Yes,1.0,
R6144,29,17.75,Comedy,Standard,3,Yes,3.0,
L2802,45,14.98,Comedy,Premium,5,No,2.0,
Y3599,34,12.01,Action,Standard,1,Yes,0.0,
H0893,57,15.86,Horror,VIP,1,No,1.0,
E5484,27,24.7,Drama,Premium,7,Yes,2.0,
A8535,50,14.78,Sci-Fi,Premium,5,No,2.0,
A1178,58,23.78,Sci-Fi,VIP,7,No,2.0,
J5739,57,13.62,Action,Premium,3,No,1.0,
N7141,54,19.01,Horror,VIP,2,Yes,4.0,
P3981,25,10.61,Comedy,Premium,1,No,0.0,
I6591,57,10.41,Drama,VIP,1,No,1.0,
Y2750,58,11.26,Action,VIP,1,Yes,1.0,
X4553,52,15.56,Sci-Fi,Premium,5,No,2.0,
X9468,44,22.89,Drama,Standard,1,Yes,4.0,
E2677,44,19.74,Horror,VIP,1,Yes,4.0,
X8764,39,18.27,Action,Premium,1,No,3.0,
B2686,22,15.19,Sci-Fi,Standard,3,Yes,0.0,
O8372,36,23.99,Sci-Fi,VIP,1,No,3.0,
K6220,31,17.56,Comedy,Standard,1,No,3.0,
O6264,60,11.58,Drama,VIP,7,Yes,2.0,
A9435,49,17.85,Drama,Premium,1,Yes,4.0,
N5266,48,14.04,Drama,VIP,6,No,2.0,
I5016,54,21.49,Sci-Fi,Standard,7,Yes,2.0,
U8801,38,17.67,Horror,VIP,2,No,3.0,
T0054,49,22.24,Action,VIP,1,No,4.0,
F1181,59,11.46,Action,Standard,1,Yes,1.0,
N2120,25,13.05,Action,VIP,6,No,2.0,
S0813,35,14.85,Horror,Standard,1,No,0.0,
O2106,58,18.95,Drama,VIP,6,No,2.0,
D9856,19,17.81,Action,Premium,1,No,3.0,
M1047,59,10.69,Action,Standard,6,No,1.0,
F9240,60,23.15,Action,Premium,6,No,4.0,
N9075,27,18.31,Action,Premium,1,Yes,3.0,
O3044,18,12.04,Action,Standard,6,Yes,2.0,
T1301,55,13.71,Comedy,Premium,1,No,1.0,
E0849,23,15.44,Horror,Standard,1,Yes,0.0,
F1619,40,13.93,Comedy,Premium,6,Yes,2.0,
L7684,46,24.35,Horror,VIP,6,Yes,2.0,
N6284,53,16.47,Drama,VIP,1,Yes,1.0,
V5427,39,23.2,Sci-Fi,VIP,1,Yes,3.0,
M9668,22,21.73,Sci-Fi,VIP,2,Yes,3.0,
D9591,33,10.24,Horror,Standard,1,No,0.0,
O6443,35,16.33,Horror,Standard,7,Yes,2.0,
T2876,60,24.08,Horror,Premium,4,No,4.0,
O7406,31,13.91,Comedy,Premium,1,Yes,0.0,
P2389,26,22.97,Sci-Fi,VIP,5,Yes,3.0,
Z3286,38,11.74,Action,Standard,6,No,2.0,
G4404,32,10.53,Drama,Standard,5,Yes,0.0,
B3750,57,15.21,Action,Standard,1,No,1.0,
T9837,45,12.86,Sci-Fi,VIP,1,Yes,1.0,
Y7160,36,18.31,Sci-Fi,Premium,1,No,3.0,
I1671,22,20.38,Drama,Premium,6,No,2.0,
A3867,40,10.69,Drama,VIP,1,Yes,0.0,
B4428,33,10.77,Drama,VIP,6,Yes,2.0,
K7409,40,13.93,Drama,VIP,5,Yes,2.0,
E0326,46,13.91,Comedy,VIP,1,Yes,1.0,
O4468,39,10.45,Drama,VIP,6,Yes,2.0,
P4854,41,12.47,Comedy,Premium,7,Yes,2.0,
R2740,26,24.51,Action,VIP,1,No,3.0,
F6176,43,14.92,Action,Premium,2,No,1.0,
H0290,40,14.48,Comedy,VIP,1,Yes,1.0,
B2822,59,10.49,Action,Standard,1,No,1.0,
F8301,47,21.93,Comedy,Premium,2,No,4.0,
M4228,57,12.83,Sci-Fi,Premium,1,No,1.0,
B8676,43,10.37,Horror,VIP,4,No,1.0,
N4818,49,23.83,Drama,VIP,7,No,2.0,
E8777,34,16.5,Comedy,Standard,2,No,0.0,
Q5846,20,18.39,Comedy,Premium,1,Yes,3.0,
G7855,28,24.26,Drama,Premium,7,Yes,2.0,
H8293,43,20.67,Drama,Premium,6,No,2.0,
R8949,26,23.43,Drama,Standard,1,Yes,3.0,
M9044,40,13.2,Action,VIP,2,No,1.0,
F3207,23,22.99,Sci-Fi,Premium,3,Yes,3.0,
L4232,39,10.07,Comedy,Standard,7,No,2.0,
H4073,29,18.99,Horror,Standard,6,No,2.0,
O2241,30,14.04,Comedy,Standard,3,Yes,0.0,
B0204,47,13.75,Comedy,VIP,2,Yes,1.0,
Z1790,55,14.98,Drama,Premium,2,Yes,1.0,
K5294,41,16.75,Drama,VIP,1,No,1.0,
Q6951,42,22.69,Sci-Fi,Premium,7,Yes,2.0,
H1404,56,16.03,Drama,Standard,1,Yes,1.0,
Y5391,21,13.88,Horror,Premium,6,No,2.0,
N0170,56,20.64,Sci-Fi,VIP,1,Yes,4.0,
L0167,52,18.81,Action,VIP,2,No,4.0,
D2128,20,13.82,Drama,Standard,1,No,0.0,
X8350,46,13.86,Drama,Premium,1,No,1.0,
F1885,35,20.77,Action,Standard,4,Yes,3.0,
O3931,20,17.06,Sci-Fi,Standard,1,Yes,0.0,
E2469,54,22.02,Horror,Standard,4,No,4.0,
G5366,52,11.95,Action,Premium,4,Yes,1.0,
X5079,58,21.45,Sci-Fi,Premium,6,Yes,2.0,
V9737,21,11.94,Sci-Fi,Standard,1,Yes,0.0,
P6431,54,22.27,Sci-Fi,Standard,1,Yes,4.0,
G3133,33,16.85,Horror,Premium,2,No,0.0,
F4095,57,21.93,Sci-Fi,Premium,2,No,4.0,
Z3930,51,15.46,Drama,Premium,4,No,1.0,
J2459,60,13.06,Action,Premium,1,Yes,1.0,
Q6909,44,11.3,Action,Standard,4,Yes,1.0,
G7472,53,19.78,Drama,Standard,3,No,4.0,
Y5962,55,23.63,Sci-Fi,Premium,1,Yes,4.0,
J4979,45,13.91,Horror,Premium,1,No,1.0,
O7429,43,12.51,Drama,VIP,3,No,1.0,
V3234,31,15.97,Horror,Premium,1,Yes,0.0,
E3715,19,13.28,Action,Standard,5,Yes,0.0,
F2003,45,23.95,Action,VIP,1,Yes,4.0,
H0595,36,19.3,Action,Standard,1,No,3.0,
D6122,49,20.6,Horror,Standard,1,Yes,4.0,
A5528,21,11.12,Comedy,Premium,1,No,0.0,
K1997,23,22.37,Action,Premium,1,Yes,3.0,
T5714,43,17.49,Action,Standard,1,Yes,4.0,
R3928,53,20.62,Horror,Premium,2,Yes,4.0,
B0786,40,18.8,Horror,Premium,4,Yes,2.0,
T0180,34,15.62,Drama,Standard,1,No,0.0,
G9726,20,13.31,Action,Standard,2,Yes,0.0,
H2248,59,10.21,Action,Standard,5,Yes,1.0,
D9710,58,20.19,Horror,Premium,1,Yes,4.0,
X8137,42,14.77,Horror,VIP,6,No,2.0,
K0842,54,19.14,Horror,Premium,1,No,4.0,
G0559,18,11.88,Comedy,Premium,1,Yes,0.0,
L4461,50,18.27,Action,Premium,5,Yes,2.0,
L6043,22,17.66,Drama,VIP,6,Yes,2.0,
C6804,27,19.14,Comedy,Premium,1,Yes,3.0,
J4301,60,15.69,Action,VIP,1,No,1.0,
X2267,48,15.54,Action,VIP,7,Yes,2.0,
K8372,25,23.68,Drama,Premium,3,No,3.0,
L5263,20,14.97,Sci-Fi,Standard,2,No,0.0,
E2573,45,10.85,Comedy,VIP,6,Yes,2.0,
Q4561,47,18.01,Horror,VIP,6,No,2.0,
U1241,46,12.24,Horror,Premium,1,Yes,1.0,
B3035,29,24.12,Drama,Standard,1,No,3.0,
O2464,51,11.1,Sci-Fi,Standard,5,Yes,1.0,
M7187,59,17.76,Action,Premium,1,No,4.0,
Q2909,56,22.59,Comedy,VIP,7,No,2.0,
V1725,51,14.13,Drama,Standard,1,No,1.0,
O3164,50,11.26,Comedy,VIP,1,Yes,1.0,
P6483,32,19.86,Horror,VIP,1,Yes,3.0,
R9368,19,10.67,Drama,VIP,7,No,2.0,
Y8059,35,10.41,Comedy,VIP,1,Yes,0.0,
W3548,40,24.38,Action,VIP,3,Yes,4.0,
Y6242,56,21.72,Drama,VIP,7,Yes,2.0,
U3526,22,15.21,Drama,Standard,1,No,0.0,
R4992,45,23.93,Sci-Fi,Standard,3,No,4.0,
S3317,34,15.42,Sci-Fi,Premium,3,No,0.0,
Q0936,30,15.47,Action,Premium,4,Yes,0.0,
V9885,25,14.89,Action,VIP,1,No,0.0,
Y5020,43,21.19,Action,Premium,1,No,4.0,
Y3205,35,17.35,Drama,VIP,1,No,3.0,
M3910,18,14.6,Action,VIP,1,No,0.0,
Y4885,26,16.49,Comedy,Premium,1,No,0.0,
U3623,58,23.95,Drama,VIP,1,Yes,4.0,
M9809,39,14.4,Drama,VIP,2,Yes,0.0,
S9804,60,24.08,Comedy,Standard,1,No,4.0,
H4173,54,14.83,Action,Premium,5,Yes,1.0,
Z2710,23,20.57,Action,VIP,6,No,2.0,
T8609,40,12.96,Action,Premium,5,Yes,2.0,
E6639,51,19.75,Horror,VIP,1,No,4.0,
H3589,41,22.74,Horror,Standard,1,No,4.0,
Q9783,52,16.58,Drama,Standard,3,Yes,1.0,
F4135,28,10.48,Drama,VIP,1,No,0.0,
J8589,29,24.21,Comedy,VIP,4,No,3.0,
N7617,47,17.49,Action,VIP,1,Yes,4.0,
Z0746,27,22.72,Drama,VIP,1,No,3.0,
J6767,60,19.09,Comedy,VIP,1,Yes,4.0,
T4877,35,20.26,Horror,Standard,7,No,2.0,
Y9595,33,17.37,Action,Premium,2,No,3.0,
G9552,53,21.16,Drama,Premium,1,Yes,4.0,
X4744,38,22.71,Comedy,Premium,3,No,3.0,
V1732,44,13.95,Action,Standard,1,No,1.0,
X7881,43,10.38,Drama,VIP,4,Yes,1.0,
W8501,42,20.95,Sci-Fi,Standard,4,Yes,4.0,
S2200,19,13.76,Action,VIP,3,No,0.0,
M9231,37,16.97,Drama,Standard,1,Yes,0.0,
O6210,32,22.32,Horror,Premium,2,Yes,3.0,
P1716,60,10.83,Drama,Standard,1,Yes,1.0,
A7565,27,13.63,Sci-Fi,VIP,1,Yes,0.0,
Z7240,44,11.99,Action,Standard,1,No,1.0,
G7971,42,19.11,Comedy,VIP,2,No,4.0,
F0472,43,18.79,Comedy,Standard,1,No,4.0,
X0583,37,14.32,Sci-Fi,Standard,1,Yes,0.0,
S7928,20,19.27,Comedy,Premium,1,Yes,3.0,
H1936,58,20.96,Horror,VIP,4,Yes,4.0,
U2595,21,17.18,Sci-Fi,VIP,1,No,0.0,
T1209,33,21.55,Action,Premium,6,No,2.0,
K2212,45,18.95,Comedy,VIP,3,No,4.0,
D9095,40,13.46,Drama,Premium,1,Yes,1.0,
F0351,19,17.53,Horror,Standard,1,Yes,3.0,
O9124,40,13.98,Comedy,Standard,1,No,1.0,
Y7920,56,11.02,Action,Standard,1,No,1.0,
U4514,41,14.63,Sci-Fi,VIP,6,No,2.0,
S9882,22,13.33,Horror,VIP,1,No,0.0,
M4995,30,21.59,Drama,Premium,6,No,2.0,
G8758,43,11.85,Horror,Premium,2,No,1.0,
C5723,28,12.4,Drama,Premium,6,Yes,2.0,
K4923,47,12.39,Sci-Fi,Standard,1,Yes,1.0,
Y6380,27,16.48,Action,Standard,1,No,0.0,
Y8012,21,19.43,Action,Premium,1,Yes,3.0,
L7500,41,16.66,Sci-Fi,Standard,6,No,2.0,
I4283,54,20.89,Drama,Standard,3,No,4.0,
L1983,24,20.24,Sci-Fi,VIP,5,No,2.0,
B7349,40,10.81,Horror,Premium,7,No,2.0,
P0451,47,18.13,Horror,Premium,1,Yes,4.0,
J3938,51,17.26,Comedy,VIP,5,Yes,2.0,
Z8035,54,21.41,Horror,Standard,1,Yes,4.0,
C6483,56,16.33,Drama,VIP,6,Yes,2.0,
X0045,22,20.16,Action,VIP,2,No,3.0,
S5454,56,23.59,Horror,Standard,1,Yes,4.0,
V8216,27,14.83,Comedy,Standard,1,No,0.0,
